PVI;Station;Easting;Northing;elev_exist;elev_des;elev_diff;d_eastAxe
232;27320;177973.52780000000;658965.45580000000;22.73500000000;-2.82000000000;25.55500000000;-25.70002714000
233;27330;177972.11960000000;658955.55540000000;22.41700000000;-3.02000000000;25.43700000000;-25.69602496830
234;27340;177970.71140000000;658945.65510000000;22.12000000000;-3.22000000000;25.34000000000;-25.66296356490
235;27350;177969.30310000000;658935.75480000000;21.80800000000;-3.42000000000;25.22800000000;-25.54806941380
236;27360;177967.89490000000;658925.85440000000;21.63400000000;-3.62000000000;25.25400000000;-25.23718047420
237;27370;177966.48670000000;658915.95410000000;21.48800000000;-3.82000000000;25.30800000000;-24.84880643190
238;27380;177965.07840000000;658906.05370000000;21.39700000000;-4.02000000000;25.41700000000;-24.19380792280
239;27390;177963.67020000000;658896.15340000000;21.37000000000;-4.22000000000;25.59000000000;-23.45552277760
240;27400;177962.26200000000;658886.25300000000;21.36800000000;-4.42000000000;25.78800000000;-22.53914985310
241;27410;177960.85370000000;658876.35270000000;21.37300000000;-4.62000000000;25.99300000000;-21.53080135760
242;27420;177959.44550000000;658866.45230000000;21.41100000000;-4.82000000000;26.23100000000;-20.49330468070
243;27430;177958.03730000000;658856.55200000000;21.46500000000;-5.02000000000;26.48500000000;-19.45446429860
244;27440;177956.62910000000;658846.65160000000;21.53500000000;-5.22000000000;26.75500000000;-18.41957030980
245;27450;177955.22500000000;658836.75070000000;21.67100000000;-5.42000000000;27.09100000000;-17.41058669380
246;27460;177953.84610000000;658826.84620000000;21.76600000000;-5.62000000000;27.38600000000;-16.45995719020
247;27470;177952.51790000000;658816.93480000000;21.82000000000;-5.82000000000;27.64000000000;-15.61454455570
248;27480;177951.26170000000;658807.01410000000;21.98600000000;-6.02000000000;28.00600000000;-14.92001444840
249;27490;177950.08180000000;658797.08400000000;22.05900000000;-6.22000000000;28.27900000000;-14.35173651570
250;27500;177948.97830000000;658787.14500000000;22.14200000000;-6.42000000000;28.56200000000;-13.93733859440
251;27510;177947.95120000000;658777.19800000000;22.31800000000;-6.62000000000;28.93800000000;-13.69605746850
252;27520;177946.99080000000;658767.24420000000;22.50000000000;-6.82000000000;29.32000000000;-13.56659953210
253;27530;177946.07290000000;658757.28640000000;22.60800000000;-7.02000000000;29.62800000000;-13.51507513990
254;27540;177945.17220000000;658747.32710000000;22.67200000000;-7.22000000000;29.89200000000;-13.49997763700
255;27550;177944.27270000000;658737.36760000000;22.72200000000;-7.42000000000;30.14200000000;-13.50001531180
256;27560;177943.37330000000;658727.40810000000;22.76400000000;-7.62000000000;30.38500000000;-13.49995339200
257;27570;177942.47380000000;658717.44870000000;22.82000000000;-7.82000000000;30.64000000000;-13.50000006140
258;27580;177941.57430000000;658707.48920000000;22.87400000000;-8.02000000000;30.89400000000;-13.50003773620
259;27590;177940.67490000000;658697.52970000000;22.75500000000;-8.22000000000;30.97500000000;-13.49997581630
260;27600;177939.77540000000;658687.57030000000;22.73900000000;-8.42000000000;31.15900000000;-13.50002248570
261;27610;177938.87600000000;658677.61080000000;22.87100000000;-8.62000000000;31.49100000000;-13.49996056590
262;27620;177937.97650000000;658667.65130000000;22.75600000000;-8.82000000000;31.57600000000;-13.49999824070
263;27630;177937.07700000000;658657.69190000000;22.74300000000;-9.02000000000;31.76300000000;-13.50004491010
264;27640;177936.17760000000;658647.73240000000;22.60100000000;-9.22000000000;31.82100000000;-13.49998299020
265;27650;177935.27810000000;658637.77290000000;22.47700000000;-9.42000000000;31.89700000000;-13.50002066500
266;27660;177934.37870000000;658627.81350000000;22.40000000000;-9.62000000000;32.02000000000;-13.49996773970
267;27670;177933.47920000000;658617.85400000000;22.41300000000;-9.82000000000;32.23300000000;-13.50000541450
268;27680;177932.57970000000;658607.89450000000;22.41300000000;-10.02000000000;32.43300000000;-13.50004308930
269;27690;177931.68030000000;658597.93510000000;22.40200000000;-10.22000000000;32.62200000000;-13.49999016400
270;27700;177930.78080000000;658587.97560000000;22.35600000000;-10.41300000000;32.76900000000;-13.50002783880
