PVI;Station;Easting;Northing;elev_exist;elev_des;elev_dif;d_northAxe
111;35610;182419.50580000000;654144.47140000000;43.58400000000;14.58700000000;28.99800000000;-13.49996737760
112;35620;182429.09910000000;654141.64840000000;43.81300000000;14.74700000000;29.06700000000;-13.50002040600
113;35630;182438.69240000000;654138.82550000000;43.95100000000;14.90700000000;29.04500000000;-13.49997750130
114;35640;182448.28560000000;654136.00250000000;44.10600000000;15.06700000000;29.03900000000;-13.50005875900
115;35650;182457.87890000000;654133.17960000000;44.25300000000;15.22700000000;29.02700000000;-13.50001585440
116;35660;182467.47220000000;654130.35670000000;44.46500000000;15.38700000000;29.07900000000;-13.49997294980
117;35670;182477.06550000000;654127.53370000000;44.94400000000;15.54700000000;29.39700000000;-13.50002597800
118;35680;182486.65880000000;654124.71080000000;45.26100000000;15.70700000000;29.55400000000;-13.49973782570
119;35690;182496.24870000000;654121.87660000000;45.83600000000;15.86700000000;29.96900000000;-13.49699172440
120;35700;182505.81950000000;654118.97850000000;46.41300000000;16.02700000000;30.38600000000;-13.49438511160
121;35710;182515.35140000000;654115.95500000000;46.99300000000;16.18700000000;30.80700000000;-13.50342376310
122;35720;182524.82200000000;654112.74510000000;47.57800000000;16.34700000000;31.23200000000;-13.50465130260
123;35730;182534.20610000000;654109.29090000000;48.18500000000;16.50700000000;31.67900000000;-13.45591734280
124;35740;182543.48600000000;654105.56580000000;48.74100000000;16.66700000000;32.07400000000;-13.46041984290
125;35750;182552.65350000000;654101.57200000000;48.62900000000;16.82700000000;31.80300000000;-13.47560181300
126;35760;182561.70070000000;654097.31280000000;48.72000000000;16.98700000000;31.73300000000;-13.50159386420
127;35770;182570.62000000000;654092.79190000000;48.81300000000;17.14700000000;31.66600000000;-13.48484812950
128;35780;182579.40390000000;654088.01320000000;48.80700000000;17.30700000000;31.50000000000;-13.46548129530
129;35790;182588.04480000000;654082.98050000000;48.91800000000;17.46700000000;31.45200000000;-13.45701993610
130;35800;182596.53550000000;654077.69830000000;48.87800000000;17.62700000000;31.25100000000;-13.45919724720
131;35810;182604.86870000000;654072.17110000000;48.90000000000;17.78700000000;31.11400000000;-13.47205114320
132;35820;182613.03730000000;654066.40340000000;48.96900000000;17.94700000000;31.02300000000;-13.49575827120
133;35830;182621.03450000000;654060.40020000000;49.03700000000;18.10700000000;30.93000000000;-13.49061445680
134;35840;182628.85340000000;654054.16670000000;49.08000000000;18.26700000000;30.81300000000;-13.46900772250
135;35850;182636.48750000000;654047.70800000000;49.14600000000;18.42700000000;30.72000000000;-13.45813725720
136;35860;182643.93010000000;654041.02970000000;49.26900000000;18.58700000000;30.68200000000;-13.45805359320
137;35870;182651.17510000000;654034.13740000000;49.31800000000;18.74700000000;30.57100000000;-13.46866379230
138;35880;182658.21620000000;654027.03700000000;49.52700000000;18.90700000000;30.62000000000;-13.49003390640
139;35890;182665.04750000000;654019.73450000000;49.61700000000;19.06700000000;30.55100000000;-13.49649517400
140;35900;182671.66320000000;654012.23610000000;49.65800000000;19.22700000000;30.43100000000;-13.47264239240
141;35910;182678.05760000000;654004.54820000000;50.33800000000;19.38700000000;30.95100000000;-13.45955531940
142;35920;182684.22540000000;653996.67730000000;51.04900000000;19.54700000000;31.50200000000;-13.45715496970
143;35930;182690.16130000000;653988.63010000000;51.71100000000;19.70700000000;32.00400000000;-13.46548009520
144;35940;182695.86030000000;653980.41340000000;52.34800000000;19.86700000000;32.48100000000;-13.48451766740
145;35950;182701.31750000000;653972.03410000000;52.92800000000;20.02700000000;32.90200000000;-13.50262558900
146;35960;182706.52840000000;653963.49950000000;53.44300000000;20.18700000000;33.25600000000;-13.47638303970
147;35970;182711.48840000000;653954.81670000000;53.92600000000;20.34700000000;33.57900000000;-13.46095886860
148;35980;182716.19330000000;653945.99310000000;54.45700000000;20.50700000000;33.95000000000;-13.45633221260
149;35990;182720.63930000000;653937.03610000000;54.48800000000;20.66400000000;33.82500000000;-13.46236937690
150;36000;182724.82250000000;653927.95350000000;54.29500000000;20.80200000000;33.49300000000;-13.47909439910
151;36010;182728.73930000000;653918.75290000000;54.33000000000;20.92100000000;33.40900000000;-13.50660306230
152;36020;182732.38640000000;653909.44210000000;54.54700000000;21.02200000000;33.52400000000;-13.48037119080
153;36030;182735.76820000000;653900.03160000000;54.79000000000;21.12200000000;33.66700000000;-13.49870691920
154;36040;182738.92970000000;653890.54470000000;55.05400000000;21.22200000000;33.83100000000;-13.49794629320
155;36050;182741.93110000000;653881.00580000000;55.37300000000;21.32200000000;34.05000000000;-13.49382715570
156;36060;182744.83350000000;653871.43630000000;55.14500000000;21.42200000000;33.72300000000;-13.49553909410
157;36070;182747.69790000000;653861.85530000000;54.88100000000;21.52200000000;33.35900000000;-13.50002486650
158;36080;182750.56010000000;653852.27370000000;54.60800000000;21.62200000000;32.98600000000;-13.50001717130
